3291871,McRinn,Christabella,1,2019,03,01,1000000,0584,02,000092846,000915346,0
3163802,Achromov,Bambie,3,2020,01,15,1000000,0611,02,000067056,000961691,0
6464755,Matveyev,Nessy,3,2020,03,15,0750000,0743,02,000022389,000992650,0
0536691,Floris,Dorella,3,2018,06,01,1000000,0505,01,000065369,000138386,0
6184974,Pringle,Arley,3,2020,02,01,1000000,0564,02,000098152,000784926,0
0150860,MacKowle,Eleonore,1,2019,10,15,0750000,0442,02,000061047,000045826,0
0014181,Lagen,Valaria,2,2020,08,15,1000000,0403,02,000063182,000350010,0
2446864,Partleton,Omar,2,2020,09,01,0750000,0818,02,000066764,000856015,0
8633426,Muff,Hobey,3,2018,10,01,0750000,0602,02,000071516,000828089,0
3275726,Smails,Ferdy,1,2018,08,01,1000000,0508,02,000054148,000734880,0
6591290,Widocks,Tatiania,3,2018,04,15,1000000,0354,02,000011936,000820355,0
1343703,Hardes,Guthry,2,2020,05,01,1000000,0678,02,000067262,000347107,0
8524174,Kencott,Kay,1,2018,06,15,0750000,0256,01,000028311,000887230,0
2668549,Tabb,Ardisj,3,2020,03,01,0750000,0102,02,000086866,000990535,0
3820260,Linkie,Fanni,3,2018,03,01,0750000,0627,01,000031216,000128895,0
0564119,Mummery,Kerrill,1,2020,01,01,1000000,0374,01,000017900,000771531,0
5727447,Aronovich,Panchito,1,2020,12,01,1000000,0199,01,000090258,000118044,0
7271942,Twiname,Koenraad,3,2020,09,01,0750000,0980,01,000065124,000354053,0
3662707,Doone,Harcourt,2,2018,01,01,1000000,0845,02,000085534,000183053,0
0248347,Clew,Rogers,3,2020,05,01,0750000,0214,02,000062922,000086919,0
3297692,Dain,Husein,2,2020,01,15,0750000,0493,02,000038358,000408701,0
8190276,Marsh,Armand,1,2020,04,15,1000000,0295,01,000029869,000267709,0
0278835,Jiggle,Rem,3,2018,11,15,0750000,0329,02,000034645,000283210,0
3176592,Apple,Aldwin,1,2019,09,01,0750000,0674,01,000053637,000955671,0
1532115,Skamal,Gwenni,2,2020,05,15,0750000,0163,01,000061487,000836519,0
5181830,Beardsdale,Don,3,2019,09,01,0750000,0771,02,000065586,000236373,0
0499062,Earengey,Daphene,3,2018,06,15,1000000,0435,02,000008969,000544626,0
6228732,Coghlan,Melodee,3,2019,11,01,0750000,0126,02,000031640,000723417,0
7297111,Venard,Auguste,2,2020,10,01,1000000,0261,02,000081918,000024491,0
1375091,Lyal,Catherina,1,2020,03,01,1000000,0154,02,000088382,000320593,0
8734722,Schooley,Suzann,3,2019,01,01,1000000,0040,01,000003456,000164917,0
1300907,Gripton,Carroll,2,2020,03,15,1000000,0035,01,000066929,000875563,0
3716233,Juszczyk,Vaclav,1,2019,03,15,1000000,0409,02,000054875,000706687,0
5407985,Gehrts,Selby,1,2019,05,15,0750000,0072,02,000039922,000022352,0
4656074,Greathead,Ivy,1,2019,06,01,1000000,0863,01,000023833,000676300,0
8159449,Passion,Xever,2,2020,11,15,1000000,0877,02,000066954,000189362,0
4325685,Harman,Koral,1,2018,09,01,1000000,0907,02,000015900,000521419,0
1218938,Parratt,Hugh,3,2020,12,01,1000000,0896,01,000030742,000808291,0
8052063,Dunthorn,Andras,3,2019,10,15,1000000,0119,01,000027242,000638222,0
7960814,Templar,Mickey,2,2018,04,15,0750000,0494,02,000038667,000401024,0
4960878,Klimentov,Cele,2,2019,01,15,0750000,0355,01,000092450,000606224,0
1361202,Danhel,Dasha,1,2019,07,15,1000000,0714,02,000024041,000437364,0
0113313,Busswell,Essy,3,2019,02,01,1000000,0968,01,000071906,000641747,0
1392718,Rodders,Ursola,2,2020,10,15,0750000,0204,02,000062109,000579933,0
7112160,Caddock,Truda,2,2019,10,01,0750000,0957,01,000075744,000588102,0
5209136,Mebius,Kent,3,2018,01,01,0750000,0769,02,000058595,000743144,0
5362484,Tapton,Moishe,1,2019,07,01,0750000,0532,01,000030593,000601297,0
8285113,Cottham,Jillane,3,2019,04,15,1000000,0388,02,000053986,000721194,0
5149171,Papis,Sasha,3,2020,05,15,0750000,0029,01,000070163,000901744,0
8626100,McIlenna,Griffy,3,2020,01,15,1000000,0166,02,000058300,000166663,0
9865620,Lebbern,Drona,2,2019,11,01,0750000,0898,01,000020501,000024804,0
